,val
1961,64.8
1962,34.8
1963,43.5
1964,58.3
1965,25.3
1966,40.4
1967,54.7
1968,42.9
1969,55.4
1970,25.3
1971,36.8
1972,31.2
1973,26.2
1974,26.7
1975,18.2
1976,31.6
1977,24.8
1978,30.8
1979,29.7
1980,33.7
1981,45.3
1982,39.5
1983,23.8
1984,26.8
1985,36.0
1986,32.6
1987,30.6
1988,31.5
1989,31.2
1990,43.3
1991,25.9
1992,19.8
1993,31.9
1994,47.4
1995,25.5
1996,21.7
1997,36.9
1998,25.2
1999,33.0
2000,30.4
2001,27.3
2002,47.1
2003,22.2
2004,49.0
2005,22.9
2006,35.7
2007,25.6
2008,57.2
2009,23.7
2010,31.2
2011,37.7
2012,18.5
2013,25.8
2014,18.6
2015,31.5
2016,19.8
2017,46.7
2018,37.6
2019,33.8
2020,24.2
2021,70.0
2022,43.28
2023,38.11
2024,38.7
2025,29.1
