,val
1961,18.5
1962,22.5
1963,25.2
1964,24.6
1965,19.6
1966,17.8
1967,25.7
1968,19.1
1969,52.2
1970,21.0
1971,35.2
1972,49.5
1973,30.5
1974,22.0
1975,16.2
1976,32.7
1977,34.0
1978,25.5
1979,19.6
1980,22.6
1981,68.1
1982,33.1
1983,36.4
1984,23.5
1985,28.2
1986,21.9
1987,17.6
1988,31.5
1989,22.8
1990,33.2
1991,20.2
1992,19.1
1993,37.8
1994,28.8
1995,26.8
1996,36.9
1997,20.4
1998,38.4
1999,24.1
2000,20.0
2001,35.1
2002,25.9
2003,37.5
2004,35.0
2005,28.8
2006,112.5
2007,48.2
2008,34.8
2009,17.2
2010,33.8
2011,40.2
2012,29.3
2013,35.0
2014,21.4
2015,78.3
2016,20.3
2017,27.8
2018,31.5
2019,43.7
2020,21.1
2021,41.2
2022,35.92
2023,25.46
2024,31.7
2025,70.8
