,val
1961,16.4
1962,23.0
1963,24.4
1964,25.4
1965,28.7
1966,33.0
1967,31.4
1968,34.0
1969,32.0
1970,34.6
1971,23.5
1972,75.4
1973,18.2
1974,28.8
1975,20.2
1976,42.1
1977,21.8
1978,27.2
1979,39.5
1980,27.0
1981,28.7
1982,31.8
1983,26.4
1984,28.6
1985,36.0
1986,32.2
1987,29.9
1988,26.8
1989,33.0
1990,35.3
1991,28.8
1992,21.5
1993,13.8
1994,32.0
1995,20.0
1996,20.4
1997,23.1
1998,37.9
1999,42.6
2000,39.2
2001,23.6
2002,32.9
2003,63.8
2004,33.0
2005,30.7
2006,38.7
2007,34.0
2008,36.2
2009,28.3
2010,30.5
2011,36.1
2012,23.6
2013,27.1
2014,19.9
2015,44.4
2016,28.7
2017,24.1
2018,34.1
2019,44.5
2020,39.6
2021,38.06
2022,25.57
2023,25.8
2024,23.5
2025,42.9
