,val
1961,44.1
1962,22.6
1963,26.9
1964,28.1
1965,32.8
1966,29.3
1967,28.1
1968,39.1
1969,29.1
1970,22.5
1971,76.2
1972,27.0
1973,28.5
1974,42.0
1975,40.5
1976,35.2
1977,24.2
1978,33.0
1979,30.0
1980,38.8
1981,24.8
1982,28.6
1983,35.1
1984,43.0
1985,33.3
1986,30.5
1987,33.5
1988,41.7
1989,25.8
1990,31.7
1991,37.7
1992,29.6
1993,25.0
1994,21.1
1995,25.4
1996,29.5
1997,40.6
1998,35.0
1999,52.3
2000,35.5
2001,27.4
2002,31.1
2003,68.4
2004,33.2
2005,27.8
2006,32.2
2007,55.2
2008,60.2
2009,54.7
2010,31.7
2011,49.5
2012,37.7
2013,43.2
2014,69.1
2015,34.1
2016,42.5
2017,29.4
2018,36.4
2019,32.5
2020,34.7
2021,41.4
2022,24.91
2023,33.9
2024,26.6
2025,33.1
