,val
1961,24.5
1962,30.0
1963,30.0
1964,24.5
1965,23.0
1966,22.5
1967,31.5
1968,22.1
1969,40.0
1970,27.0
1971,32.2
1972,32.8
1973,28.7
1974,39.1
1975,16.4
1976,31.1
1977,37.6
1978,23.9
1979,24.8
1980,26.9
1981,32.2
1982,32.4
1983,33.6
1984,24.5
1985,26.7
1986,21.5
1987,22.1
1988,28.5
1989,44.8
1990,30.3
1991,26.6
1992,20.6
1993,29.2
1994,50.6
1995,35.7
1996,24.5
1997,23.8
1998,30.1
1999,25.0
2000,28.2
2001,14.4
2002,81.1
2003,21.0
2004,53.2
2005,25.7
2006,24.1
2007,32.7
2008,26.4
2009,34.7
2010,22.4
2011,29.2
2012,26.9
2013,18.2
2014,31.6
2015,45.7
2016,26.2
2017,35.5
2018,27.8
2019,43.4
2020,46.2
2021,32.8
2022,30.78
2023,24.91
2024,35.9
2025,38.9
