,year,precipitation
0,1874,15.8
1,1875,23.7
2,1876,26.3
3,1877,17.2
4,1878,37.5
5,1879,54.1
6,1880,39.4
7,1881,18.8
8,1882,28.5
9,1883,26.1
10,1884,23.6
11,1885,29.4
12,1886,30.2
13,1887,26.9
14,1888,35.0
15,1889,48.0
16,1890,26.6
17,1891,33.1
18,1892,23.6
19,1893,14.4
20,1894,18.2
21,1895,19.9
22,1896,41.6
23,1897,27.9
24,1898,21.2
25,1899,17.5
26,1900,30.2
27,1901,43.1
28,1902,24.3
29,1903,29.9
30,1904,32.6
31,1905,40.6
32,1906,23.8
33,1907,16.2
34,1908,23.0
35,1909,26.4
36,1910,31.3
37,1911,24.3
38,1912,49.4
39,1913,19.5
40,1914,22.4
41,1915,20.5
42,1916,37.5
43,1917,24.2
44,1918,33.8
45,1919,21.0
46,1920,22.0
47,1921,19.4
48,1922,68.8
49,1923,19.2
50,1924,44.5
51,1925,49.1
52,1926,32.1
53,1927,28.0
54,1928,28.5
55,1929,20.6
56,1930,30.2
57,1931,44.8
58,1932,26.1
59,1933,42.1
60,1934,30.3
61,1935,25.6
62,1936,21.0
63,1937,25.0
64,1938,40.3
65,1939,69.8
66,1940,19.1
67,1941,17.4
68,1942,22.5
69,1943,22.2
70,1944,27.5
71,1945,42.0
72,1946,25.2
73,1947,24.5
74,1948,35.8
75,1949,43.6
76,1950,20.3
77,1951,38.4
78,1952,28.0
79,1953,16.0
80,1954,25.5
81,1955,53.7
82,1956,24.0
83,1957,12.2
84,1958,21.1
85,1959,33.6
86,1960,45.6
87,1961,50.5
88,1962,25.0
89,1963,31.0
90,1964,16.8
91,1965,40.7
92,1966,29.0
93,1967,25.5
94,1968,31.3
95,1969,59.5
96,1970,38.1
97,1971,25.2
98,1972,31.0
99,1973,23.4
100,1974,26.7
101,1975,22.3
102,1976,27.0
103,1977,24.8
104,1978,27.1
105,1979,22.6
106,1980,30.6
107,1981,29.0
108,1982,39.6
109,1983,19.4
110,1984,28.0
111,1985,23.0
112,1986,22.0
113,1987,52.2
114,1988,31.0
115,1989,41.0
116,1990,27.0
117,1991,36.0
118,1992,32.0
119,1993,26.8
120,1994,30.9
121,1995,22.0
122,1996,47.0
123,1997,15.0
124,1998,22.0
125,1999,26.0
126,2000,41.0
127,2001,27.0
128,2002,41.0
129,2003,28.0
130,2004,33.0
131,2005,18.0
132,2006,69.0
133,2007,57.0
134,2008,56.0
135,2009,25.0
136,2010,29.0
137,2011,39.0
138,2012,25.7
139,2013,23.4
140,2014,32.8
141,2015,29.5
142,2016,20.9
143,2017,23.9
144,2018,31.1
0,2019,36.6
1,2020,21.3
2,2021,61.2
3,2022,21.7
4,2023,43.9
5,2024,33.599999999999994
6,2025,31.6
