,val
1961,22.0
1962,25.1
1963,15.6
1964,24.3
1965,29.0
1966,72.2
1967,43.5
1968,25.0
1969,35.5
1970,32.8
1971,31.5
1972,82.6
1973,32.5
1974,24.5
1975,37.2
1976,26.6
1977,20.0
1978,39.5
1979,29.5
1980,37.4
1981,54.4
1982,29.5
1983,36.6
1984,33.4
1985,25.8
1986,19.8
1987,22.9
1988,21.0
1989,42.2
1990,39.2
1991,31.0
1992,23.5
1993,27.0
1994,46.7
1995,24.7
1996,24.5
1997,19.7
1998,28.2
1999,26.5
2000,27.6
2001,15.2
2002,51.0
2003,28.0
2004,37.1
2005,38.0
2006,18.0
2007,32.5
2008,24.2
2009,49.0
2010,30.0
2011,48.3
2012,52.5
2013,24.0
2014,30.4
2015,42.3
2016,19.0
2017,28.3
2018,49.1
2019,39.4
2020,21.1
2021,18.1
2022,21.38
2023,50.54
2024,24.5
2025,84.7
