,val
1961,19.5
1962,36.8
1963,50.4
1964,16.1
1965,22.2
1966,45.0
1967,35.7
1968,35.2
1969,23.0
1970,28.2
1971,14.2
1972,24.0
1973,30.8
1974,14.8
1975,22.2
1976,17.2
1977,25.4
1978,22.0
1979,22.0
1980,18.7
1981,48.0
1982,34.4
1983,42.5
1984,19.8
1985,30.1
1986,46.1
1987,69.0
1988,28.0
1989,63.2
1990,51.1
1991,23.0
1992,18.0
1993,37.0
1994,30.2
1995,20.3
1996,27.4
1997,20.0
1998,34.0
1999,25.7
2000,17.5
2001,21.2
2002,30.9
2003,26.9
2004,29.0
2005,23.0
2006,31.0
2007,36.0
2008,46.2
2009,32.0
2010,25.0
2011,32.8
2012,20.4
2013,18.6
2014,30.4
2015,39.6
2016,41.1
2017,35.3
2018,32.0
2019,41.7
2020,36.7
2021,19.75
2022,33.24
2023,53.4
2024,52.1
2025,108.9
