,year,precipitation
0,1874,35.8
1,1875,27.9
2,1876,28.5
3,1877,20.4
4,1878,37.2
5,1879,36.2
6,1880,65.0
7,1881,29.5
8,1882,38.2
9,1883,27.7
10,1884,75.0
11,1885,24.6
12,1886,26.6
13,1887,22.5
14,1888,28.4
15,1889,29.7
16,1890,29.3
17,1891,19.8
18,1892,28.0
19,1893,27.2
20,1894,47.0
21,1895,25.8
22,1896,59.0
23,1897,37.7
24,1898,28.4
25,1899,18.5
26,1900,31.5
27,1901,46.8
28,1902,24.7
29,1903,30.2
30,1904,19.0
31,1905,28.0
32,1906,29.9
33,1907,23.9
34,1908,30.2
35,1909,27.9
36,1910,62.7
37,1911,24.0
38,1912,23.4
39,1913,34.0
40,1914,31.7
41,1915,34.2
42,1916,28.0
43,1917,28.4
44,1918,18.4
45,1919,23.2
46,1920,40.4
47,1921,33.4
48,1922,41.8
49,1923,31.8
50,1924,24.6
51,1925,24.6
52,1926,49.6
53,1927,31.0
54,1928,22.1
55,1929,36.3
56,1930,25.8
57,1931,94.4
58,1932,40.0
59,1933,17.4
60,1934,20.3
61,1935,25.2
62,1936,21.4
63,1937,33.0
64,1938,50.7
65,1939,26.1
66,1940,28.0
67,1941,38.6
68,1942,20.0
69,1943,30.4
70,1944,30.2
71,1945,21.8
72,1946,43.2
73,1947,21.7
74,1948,43.4
75,1949,41.0
76,1950,44.8
77,1951,33.5
78,1952,26.5
79,1953,36.0
80,1954,26.4
81,1955,32.0
82,1956,23.4
83,1957,26.3
84,1958,33.2
85,1959,29.9
86,1960,36.7
87,1961,37.1
88,1962,24.8
89,1963,43.3
90,1964,24.2
91,1965,32.1
92,1966,29.1
93,1967,30.0
94,1968,39.3
95,1969,29.7
96,1970,25.6
97,1971,36.0
98,1972,15.3
99,1973,23.6
100,1974,39.4
101,1975,24.6
102,1976,31.2
103,1977,27.5
104,1978,18.2
105,1979,30.6
106,1980,48.2
107,1981,36.1
108,1982,51.4
109,1983,40.1
110,1984,23.6
111,1985,25.2
112,1986,25.4
113,1987,35.4
114,1988,56.1
115,1989,23.3
116,1990,37.3
117,1991,38.4
118,1992,50.2
119,1993,28.6
120,1994,25.1
121,1995,29.2
122,1996,28.3
123,1997,37.3
124,1998,36.1
125,1999,50.4
126,2000,40.0
127,2001,22.9
128,2002,38.9
129,2003,30.2
130,2004,30.7
131,2005,24.7
132,2006,28.7
133,2007,36.5
134,2008,29.4
135,2009,21.0
136,2010,38.0
137,2011,26.0
138,2012,28.2
139,2013,28.0
140,2014,23.8
141,2015,49.9
142,2016,30.9
143,2017,37.3
144,2018,34.2
0,2019,43.0
1,2020,30.0
2,2021,30.7
3,2022,20.8
4,2023,26.9
5,2024,97.6
6,2025,34.7
