,val
1961,42.2
1962,27.3
1963,28.6
1964,38.5
1965,27.2
1966,31.5
1967,26.0
1968,47.2
1969,25.0
1970,31.5
1971,32.5
1972,38.0
1973,26.7
1974,22.9
1975,20.5
1976,32.7
1977,22.5
1978,28.9
1979,40.3
1980,42.3
1981,25.5
1982,23.6
1983,25.8
1984,30.0
1985,34.1
1986,55.0
1987,30.5
1988,23.5
1989,26.9
1990,45.8
1991,35.4
1992,30.6
1993,38.7
1994,25.2
1995,21.2
1996,23.1
1997,28.3
1998,26.1
1999,22.1
2000,16.2
2001,25.0
2002,32.2
2003,26.0
2004,34.5
2005,30.0
2006,32.5
2007,32.2
2008,26.7
2009,23.1
2010,34.0
2011,52.4
2012,26.2
2013,35.0
2014,46.4
2015,30.9
2016,35.19
2017,25.1
2018,46.9
2019,26.9
2020,25.1
2021,42.2
2022,39.11
2023,31.1
2024,23.5
2025,28.4
