,val
1961,27.0
1962,30.0
1963,22.8
1964,31.1
1965,34.5
1966,38.0
1967,33.5
1968,42.8
1969,24.5
1970,56.0
1971,32.0
1972,42.0
1973,42.3
1974,40.0
1975,18.6
1976,38.1
1977,31.8
1978,19.0
1979,21.3
1980,58.2
1981,30.0
1982,41.3
1983,31.2
1984,43.0
1985,25.3
1986,25.3
1987,25.2
1988,79.2
1989,24.5
1990,13.7
1991,24.3
1992,27.0
1993,54.6
1994,34.7
1995,22.8
1996,27.5
1997,34.4
1998,34.6
1999,29.3
2000,33.0
2001,33.5
2002,48.2
2003,27.1
2004,51.3
2005,31.2
2006,32.0
2007,32.3
2008,43.0
2009,44.2
2010,32.1
2011,44.1
2012,34.3
2013,34.9
2014,55.6
2015,64.2
2016,18.6
2017,26.2
2018,71.8
2019,53.6
2020,31.0
2021,44.84
2022,28.07
2023,24.32
2024,26.1
2025,39.3
