,year,precipitation
0,1920,25.4
1,1921,53.6
2,1922,25.5
3,1923,22.3
4,1924,119.6
5,1925,25.5
6,1926,26.0
7,1927,27.2
8,1928,29.3
9,1929,53.2
10,1930,32.5
11,1931,167.5
12,1932,147.5
13,1933,21.3
14,1934,37.6
15,1935,53.4
16,1936,43.3
17,1937,35.0
18,1938,23.6
19,1939,29.7
20,1940,22.7
21,1941,24.7
22,1942,32.0
23,1943,34.2
24,1944,20.2
25,1945,49.0
26,1946,71.0
27,1947,25.9
28,1948,34.2
29,1949,28.8
30,1950,31.0
31,1951,31.3
32,1952,29.2
33,1953,33.5
34,1954,42.5
35,1955,21.7
36,1956,22.0
37,1957,53.1
38,1958,29.0
39,1959,44.9
40,1960,32.6
41,1961,26.4
42,1962,29.3
43,1963,27.1
44,1964,22.3
45,1965,36.7
46,1966,29.0
47,1967,27.0
48,1968,31.5
49,1969,29.0
50,1970,26.7
51,1971,35.2
52,1972,31.2
53,1973,35.0
54,1974,42.5
55,1975,26.8
56,1976,27.8
57,1977,21.1
58,1978,21.5
59,1979,23.8
60,1980,41.2
61,1981,69.5
62,1982,22.2
63,1983,25.2
64,1984,27.8
65,1985,29.7
66,1986,15.7
67,1987,27.9
68,1988,28.9
69,1989,31.6
70,1990,27.9
71,1991,32.2
72,1992,29.7
73,1993,24.2
74,1994,32.7
75,1995,24.2
76,1996,30.4
77,1997,52.8
78,1998,28.3
79,1999,44.4
80,2000,25.1
81,2001,21.4
82,2002,40.0
83,2003,23.2
84,2004,28.6
85,2005,39.5
86,2006,25.0
87,2007,35.5
88,2008,37.5
89,2009,41.3
90,2010,29.3
91,2011,36.7
92,2012,24.6
93,2013,58.9
94,2014,50.3
95,2015,43.1
96,2016,40.1
97,2017,42.1
98,2018,47.7
99,2019,34.2
100,2020,35.4
101,2021,38.5
102,2022,31.5
103,2023,37.900000000000006
104,2024,30.7
105,2025,79.9
