,val
1961,32.0
1962,28.4
1963,45.6
1964,23.9
1965,33.0
1966,24.2
1967,35.3
1968,36.1
1969,32.0
1970,22.4
1971,27.0
1972,30.5
1973,27.8
1974,25.4
1975,25.0
1976,32.5
1977,36.5
1978,24.7
1979,18.1
1980,24.3
1981,44.4
1982,34.5
1983,22.5
1984,24.5
1985,36.1
1986,40.0
1987,36.1
1988,23.8
1989,38.5
1990,28.2
1991,31.8
1992,30.1
1993,30.0
1994,90.1
1995,29.8
1996,19.9
1997,23.1
1998,43.6
1999,27.4
2000,31.1
2001,49.5
2002,76.8
2003,45.2
2004,39.0
2005,20.0
2006,44.6
2007,49.3
2008,38.1
2009,41.8
2010,31.3
2011,35.2
2012,28.7
2013,65.3
2014,57.1
2015,27.7
2016,49.3
2017,36.6
2018,33.4
2019,48.8
2020,27.9
2021,21.8
2022,31.930000000000003
2023,68.3
2024,178.29999999999998
2025,259.9
