,year,precipitation
0,1874,24.2
1,1875,21.8
2,1876,14.0
3,1877,42.2
4,1878,24.4
5,1879,48.2
6,1880,30.3
7,1881,61.8
8,1882,29.6
9,1883,17.9
10,1884,33.8
11,1885,32.3
12,1886,24.2
13,1887,30.2
14,1888,23.9
15,1889,22.2
16,1890,19.5
17,1891,25.8
18,1892,31.4
19,1893,25.9
20,1894,24.7
21,1895,24.2
22,1896,25.6
23,1897,56.4
24,1898,42.5
25,1899,17.7
26,1900,24.5
27,1901,22.3
28,1902,20.2
29,1903,39.6
30,1904,20.4
31,1905,31.5
32,1906,29.6
33,1907,20.1
34,1908,14.9
35,1909,29.2
36,1910,34.0
37,1911,38.7
38,1912,24.3
39,1913,59.9
40,1914,24.8
41,1915,34.7
42,1916,45.4
43,1917,24.1
44,1918,36.3
45,1919,25.1
46,1920,26.8
47,1921,38.1
48,1922,30.7
49,1923,26.9
50,1924,34.2
51,1925,28.1
52,1926,27.8
53,1927,39.0
54,1928,23.2
55,1929,16.5
56,1930,27.8
57,1931,43.6
58,1932,36.6
59,1933,27.4
60,1934,32.9
61,1935,41.3
62,1936,25.6
63,1937,28.3
64,1938,41.6
65,1939,43.3
66,1940,29.9
67,1941,27.1
68,1942,30.4
69,1943,25.0
70,1944,33.8
71,1945,29.6
72,1946,32.7
73,1947,20.3
74,1948,49.4
75,1949,31.6
76,1950,47.3
77,1951,28.0
78,1952,37.7
79,1953,25.7
80,1954,25.8
81,1955,30.4
82,1956,32.2
83,1957,19.9
84,1958,46.3
85,1959,32.6
86,1960,32.8
87,1961,37.3
88,1962,24.6
89,1963,27.2
90,1964,22.1
91,1965,23.0
92,1966,43.7
93,1967,28.8
94,1968,55.5
95,1969,32.1
96,1970,40.6
97,1971,28.9
98,1972,38.3
99,1973,23.9
100,1974,34.7
101,1975,35.1
102,1976,39.4
103,1977,33.3
104,1978,29.2
105,1979,37.6
106,1980,41.7
107,1981,23.5
108,1982,38.5
109,1983,32.4
110,1984,23.1
111,1985,33.1
112,1986,46.6
113,1987,25.7
114,1988,26.3
115,1989,22.9
116,1990,38.5
117,1991,25.5
118,1992,30.4
119,1993,43.2
120,1994,29.9
121,1995,33.5
122,1996,20.4
123,1997,23.3
124,1998,28.2
125,1999,31.7
126,2000,33.7
127,2001,26.1
128,2002,31.9
129,2003,26.7
130,2004,41.9
131,2005,28.8
132,2006,52.1
133,2007,36.0
134,2008,27.3
135,2009,23.4
136,2010,33.5
137,2011,41.0
138,2012,23.3
139,2013,32.9
140,2014,34.5
141,2015,39.4
142,2016,33.0
143,2017,45.6
144,2018,46.2
0,2019,35.300000000000004
1,2020,27.6
2,2021,49.1
3,2022,43.9
4,2023,32.1
5,2024,26.9
6,2025,26.6
