year, rain
1961,64.8
1962,36.8
1963,50.4
1964,58.3
1965,40.7
1966,72.2
1967,61.2
1968,55.5
1969,59.5
1970,56.0
1971,76.2
1972,82.6
1973,42.3
1974,42.5
1975,40.5
1976,42.1
1977,37.6
1978,39.5
1979,40.3
1980,58.2
1981,69.5
1982,51.4
1983,42.5
1984,45.1
1985,36.0
1986,55.0
1987,69.0
1988,79.2
1989,63.2
1990,51.1
1991,38.4
1992,50.2
1993,54.6
1994,50.6
1995,35.7
1996,47.0
1997,52.8
1998,38.4
1999,52.3
2000,41.0
2001,39.6
2002,81.1
2003,68.4
2004,53.2
2005,39.5
2006,112.5
2007,57.0
2008,60.2
2009,54.7
2010,68.0
2011,135.4
2012,52.5
2013,58.9
2014,126.7
2015,78.3
2016,42.5
2017,46.7
2018,71.8
2019,53.6
2020,46.2
2021,70.0
2022,43.9
2023,53.4
2024,97.6
2025,108.9
