year,rain
1920,40.4
1921,53.6
1922,68.8
1923,34.0
1924,119.6
1925,49.1
1926,49.6
1927,65.7
1928,29.3
1929,53.2
1930,39.8
1931,167.5
1932,147.5
1933,42.1
1934,50.2
1935,53.4
1936,43.3
1937,35.0
1938,50.7
1939,69.8
1940,29.9
1941,38.6
1942,38.2
1943,40.4
1944,33.8
1945,53.2
1946,71.0
1947,25.9
1948,49.4
1949,43.6
1950,47.3
1951,38.4
1952,37.7
1953,36.0
1954,47.0
1955,53.7
1956,34.8
1957,53.1
1958,46.3
1959,76.5
1960,45.6
1961,50.5
1962,29.3
1963,43.4
1964,34.0
1965,40.7
1966,43.7
1967,61.2
1968,55.5
1969,59.5
1970,40.6
1971,36.0
1972,38.3
1973,35.0
1974,42.5
1975,35.1
1976,39.4
1977,34.5
1978,29.2
1979,39.1
1980,48.2
1981,69.5
1982,51.4
1983,40.1
1984,45.1
1985,33.1
1986,48.3
1987,52.2
1988,56.1
1989,41.0
1990,40.2
1991,38.4
1992,50.2
1993,44.5
1994,38.2
1995,33.5
1996,47.0
1997,52.8
1998,36.1
1999,50.4
2000,41.0
2001,39.6
2002,45.1
2003,35.1
2004,44.1
2005,39.5
2006,69.0
2007,57.0
2008,56.0
2009,43.8
2010,68.0
2011,135.4
2012,30.7
2013,58.9
2014,126.7
2015,49.9
2016,40.1
2017,45.6
2018,47.7
2019,43.0
2020,35.4
2021,61.2
2022,43.9
2023,46.0
2024,97.6
2025,79.9
